Останні вісти.
(Телеграми П. Т. А. та власні). 
        ПЕТЕРБУРГ, 2. Тираж виграшів 5 проц. білетів I внутрішньої з виграшами позички 1864 року, зроблений 2-го января 1913 року.

        №№		№№		Сума
        серій.		біл.		виграш.
        
        5702		6		200,000
        13444		7		75,000
        4650		47		40,000
        9558		25		25,000
        14371		43		10,000
        7665		27		10,000
        834		10		10,000
        12903		45		8,000
        12760		15		8,000
        14176		2		8,000
        12228		49		8,000
        7178		23		8,000
        19970		10		5,000
        1440		9		5,000
        12380		3		5,000
        14554		20		5,000
        12461		30		5,000
        19458		47		5,000
        14854		11		5,000
        6821		46		5,000
        4917		33		1,000
        16497		48		1,000
        19601		37		1,000
        18177		23		1,000
        15391		26		1,000
        10265		32		1,000
        151		25		1,000
        14753		12		1,000
        18758		17		1,000
        7424		14		1,000
        16634		16		1,000
        13618		40		1,000
        11507		41		1,000
        2140		25		1,000
        10835		14		1,000
        5112		9		1,000
        6659		18		1,000
        17969		43		1,000
        12086		33		1,000
        9724		1		1,000
